,mean_ms,sd_ms,hdi_2.5%_ms,hdi_97.5%_ms,mean_log,hdi_2.5%_log,hdi_97.5%_log,samples_ms,per_char_ms,per_zipf_ms,per_bit_ms
word_length,21.854757436487994,0.3122596513679586,21.259146029307683,22.482284443828945,0.09153336889727677,0.08914747341395642,0.0940425682865279,"[21.56340381 21.52288297 21.79623121 ... 21.20741791 21.81404117
 22.00961629]",7.348299678141735,,
log_lex_freq,-11.729403883289677,0.31056451760536885,-12.336071432444351,-11.11035174999302,-0.0528162765326265,-0.055624319179577046,-0.049956938171055884,"[-12.24047048 -11.88680356 -11.87745327 ... -12.40078354 -11.84364537
 -11.41929198]",,-8.330746806276624,
surprisal,9.841755062441914,0.22700680129278442,9.395168119626268,10.293341198891985,0.04225947340602955,0.04038049968470222,0.04415681182609615,[9.79901749 9.79444789 9.90934012 ... 9.7000424  9.76768061 9.95072415],,,3.3972789289361436
last_in_line,2.953557047722358,0.6686563451799795,1.6442323868029014,4.264437301023983,0.012866818596757828,0.007185666704159222,0.018530909567259207,[2.86588602 2.23148617 2.26878575 ... 3.15146809 2.06967613 3.96977637],,,
