,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|subject_id[ET_76],0.483,0.024,0.438,0.527,0.009,0.003,8.0,18.0,1.49
1|subject_id[ET_77],0.004,0.024,-0.043,0.044,0.009,0.003,8.0,25.0,1.48
1|subject_id[ET_78],0.178,0.024,0.131,0.219,0.009,0.003,8.0,25.0,1.45
1|subject_id[ET_80],-0.06,0.024,-0.106,-0.019,0.009,0.003,8.0,31.0,1.46
1|subject_id[ET_81],0.143,0.023,0.099,0.185,0.009,0.003,8.0,17.0,1.47
1|subject_id[ET_82],0.134,0.024,0.088,0.176,0.009,0.004,8.0,15.0,1.45
1|subject_id[ET_83],-0.143,0.024,-0.19,-0.101,0.009,0.004,8.0,23.0,1.47
1|subject_id[ET_84],0.177,0.024,0.129,0.217,0.009,0.002,8.0,28.0,1.44
1|subject_id[ET_85],-0.318,0.024,-0.366,-0.274,0.009,0.003,8.0,21.0,1.46
1|subject_id[ET_86],0.196,0.024,0.148,0.238,0.009,0.004,8.0,16.0,1.5
1|subject_id[ET_87],0.115,0.024,0.071,0.161,0.009,0.004,8.0,17.0,1.46
1|subject_id[ET_88],-0.152,0.024,-0.199,-0.11,0.009,0.002,8.0,31.0,1.45
1|subject_id[ET_89],-0.057,0.024,-0.104,-0.017,0.009,0.003,8.0,25.0,1.46
1|subject_id[ET_90],0.084,0.023,0.038,0.124,0.009,0.003,8.0,18.0,1.47
1|subject_id[ET_91],-0.018,0.025,-0.067,0.027,0.009,0.004,8.0,17.0,1.47
1|subject_id[ET_92],0.103,0.023,0.058,0.142,0.008,0.003,8.0,21.0,1.45
1|subject_id[ET_93],-0.027,0.023,-0.071,0.016,0.008,0.003,9.0,21.0,1.41
1|subject_id[ET_94],-0.108,0.024,-0.155,-0.065,0.009,0.004,8.0,23.0,1.47
1|subject_id[ET_95],-0.064,0.023,-0.11,-0.022,0.008,0.003,9.0,20.0,1.39
1|subject_id[ET_96],0.135,0.024,0.08,0.175,0.009,0.003,8.0,23.0,1.43
1|subject_id[ET_97],0.147,0.024,0.104,0.193,0.009,0.003,8.0,37.0,1.48
1|subject_id[ET_98],-0.181,0.024,-0.227,-0.139,0.009,0.003,8.0,23.0,1.43
1|subject_id_sigma,0.148,0.012,0.126,0.168,0.004,0.001,10.0,70.0,1.33
Intercept,5.589,0.022,5.555,5.631,0.009,0.004,7.0,16.0,1.63
sigma,0.528,0.001,0.526,0.529,0.0,0.0,377.0,1842.0,1.01
surprisal_gpt2,0.139,0.002,0.135,0.143,0.0,0.0,122.0,153.0,1.04
surprisal_llama2_13b,-0.036,0.004,-0.044,-0.028,0.0,0.0,249.0,489.0,1.04
surprisal_mistral_base,-0.011,0.004,-0.019,-0.003,0.0,0.0,296.0,2344.0,1.0
surprisal_opt_1_3b,0.002,0.003,-0.004,0.008,0.0,0.0,214.0,977.0,1.0
surprisal_phi2,0.006,0.002,0.002,0.01,0.0,0.0,57.0,119.0,1.06
surprisal_pythia_12b,0.031,0.003,0.026,0.036,0.0,0.0,146.0,315.0,1.03
