,mean_ms,sd_ms,hdi_2.5%_ms,hdi_97.5%_ms,mean_log,hdi_2.5%_log,hdi_97.5%_log,samples_ms
surprisal_gpt2,38.231739272302335,0.5876090250948393,37.023330412222826,39.3581985437744,0.13918824667999843,0.13507478734765727,0.14301140762805037,"[38.25063503 38.5783056  38.15790458 ... 38.90747128 38.42334845
 38.41271005]"
surprisal_opt_1_3b,0.4470315701646839,0.7939396952249669,-1.0770221557223458,2.002681783313392,0.0017399027622479295,-0.0042159926172079315,0.007792534896999109,"[ 0.09849883 -0.09238942 -0.11275632 ... -0.33909136  0.12878666
 -1.33094206]"
surprisal_mistral_base,-2.794989670672363,1.0497965737995982,-4.832732029759063,-0.7591815330239265,-0.010986562401046084,-0.019058321077368188,-0.0029699588358395143,"[-2.92603019 -1.5548608  -3.8811851  ... -3.49337107 -3.0681637
 -0.9764204 ]"
surprisal_phi2,1.535865691524412,0.534371083389657,0.523957120006952,2.551578885981536,0.0059793970877642195,0.002044615847502269,0.00991776103888227,[0.61939569 0.6759171  1.17975754 ... 1.86727665 1.53860503 0.85562881]
surprisal_llama2_13b,-8.958849199510587,1.0340984708975374,-10.996493650081542,-6.984341397487811,-0.03563128099043255,-0.04390492240611951,-0.02766166404029147,"[ -8.42012372 -10.22281663  -7.66449983 ...  -8.47637913  -7.64567085
  -9.15206043]"
surprisal_pythia_12b,8.130176077919263,0.6638011725067503,6.807370497319026,9.376594614321991,0.03126146970390894,0.026243887770025873,0.03597248443513435,[9.00355279 9.25923153 9.05084612 ... 8.39887887 7.37373182 8.62168499]
